set_num,name,rrp_eur,lego_url,retailer_urls,ebay_price_eur,ebay_sold
21359,LEGO® Ideas 21359 Die Italienische Riviera,,,,253.79,0
11513,LEGO® Botanicals 11513 Dunkles Blumengesteck EXKLUSIV!,,,,56.99,0
43306,LEGO® Disney 43306 Lotso EXKLUSIV!,,,,41.84,0
31394,LEGO® Creator 31394 Niedliche Tiere: Roter Panda EXKLUSIV!,,,,32.33,0
77120,LEGO® Sonic 77120 Shadows Mech vs. G.U.N. Trooper EXKLUSIV!,,,,48.49,0
77985,LEGO Jurassic World 77985 Triceratops Dinosaurier Skelett,,,,74.39,0
71052,LEGO® Minifiguren 71052 Serie 29 - 36er Box NEU OVP!,,,,103.55,0
40690,LEGO® 40690 Hommage an die Bücher von Jules Verne EXKLUSIV!,,,,42.30,0
42242,LEGO® Technic 42242 Mercedes-Benz Unimog U 5023 mit Kran,,,,113.99,0
75460,LEGO® Star Wars 75460 Neuer Republikanischer X-Wing Starfighter,,,,64.31,0
80112,LEGO® 80112 Glückverheißender Drache EXKLUSIV EOL,,,,129.27,0
40920,LEGO® 40920 Bugs Bunny EXKLUSIV!,,,,41.84,0
71837,LEGO® Ninjago 71837 NINJAGO City Werkstätten EXKLUSIV!,,,,224.66,0
31378,LEGO® Creator 31378 Weltraumteleskop EXKLUSIV!,,,,35.89,0
10354,LEGO® Icons 10354 Herr der Ringe: Das Auenland EXKLUSIV!,,,,241.79,0
76478,LEGO Harry Potter 76478 Bücherstütze: Dumbledores Büro,,,,112.79,0
40595,LEGO® Ideas 40595 Hommage an Galileo Galilei EXKLUSIV!,,,,46.50,0
43025,LEGO® Editions 43025 Nike Air Max 95 EXKLUSIV!,,,,96.59,0
10357,LEGO® Icons 10357 Shelby Cobra 427 S/C NEU OVP EXKLUSIV!,,,,127.88,0
42241,LEGO® Technic 42241 Grüner Bugatti Chiron Pur Sport EXKLUSIV!,,,,64.39,0
80121,LEGO® 80121 Altes Gasthaus EXKLUSIV!,,,,108.10,0
77981,LEGO Jurassic World 77981 Rettungszentrum Junge Velociraptoren,,,,43.20,0
80120,LEGO® 80120 Karpfen Springt übers Drachentor EXKLUSIV!,,,,51.70,0
40687,LEGO® 40687 Alien-Diner EXKLUSIV NEU OVP,,,,17.76,0
43302,"LEGO® Disney 43302 Main Street, U.S.A. NEU EXKLUSIV!",,,,349.99,0
80011,LEGO 80011 Monkie Kid Red Son's Inferno Truck,,,,122.20,0
