set_num,name,ebay_list_eur,ebay_coupon_eur,ebay_best_eur,ebay_sold,ebay_url
31212,LEGO® ART 31212 Die Milchstraßen-Galaxie NEU OVP!,165.0,155.1,155.1,90,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=31212
21276,LEGO® Minecraft 21276 Der Creeper,39.99,,39.99,88,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21276
60512,LEGO® City 60512 Mountainbike-Abenteuervan EXKLUSIV!,24.99,22.99,22.99,83,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=60512
40681,LEGO® Icons 40681 Retro Food Truck NEU OVP EXKLUSIV!,39.99,37.99,37.99,83,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40681
40819,LEGO® 40819 Große Rennfahrer-Minifigur EXKLUSIV!,64.99,62.39,62.39,80,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40819
76300,LEGO® Super Heroes 76300 Arkham Asylum NEU OVP EXKLUSIV!,289.0,286.0,286.0,79,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=76300
11384,LEGO® Icons 11384 Golden Retriever Welpe NEU OVP EXKLUSIV!,109.99,105.59,105.59,79,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=11384
40409,LEGO® 40409 Hot Rod NEU OVP,21.99,20.23,20.23,79,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40409
40916,LEGO® Botanicals 40916 Bepflanzter Bilderrahmen EXKLUSIV!,39.99,37.99,37.99,78,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40916
40619,BrickHeadz 40619 EVE und WALL-E,24.99,,24.99,78,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40619
10333,LEGO® Icons 10333 Herr der Ringe: Barad-dûr NEU OVP EXKLUSIV!,459.99,432.39,432.39,77,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=10333
40560,BrickHeadz 40560 Die Professoren von Hogwarts,49.99,,49.99,76,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40560
40707,LEGO® 40707 Jahr der Schlange EXKLUSIV!,19.99,19.19,19.19,75,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40707
75430,LEGO® Star Wars 75430 Der Ewok Wicket,119.99,115.19,115.19,74,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=75430
21262,LEGO® Minecraft 21262 Die Windmühlenfarm NEU EXKLUSIV!,59.99,,59.99,74,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21262
40766,LEGO® Promotional 40766 Hommage an Jane Austen EXKLUSIV!,55.0,53.35,53.35,72,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40766
40743,40743 Weihnachtsgesteck,39.0,,39.0,72,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40743
40955,LEGO® 40955 Maersk-Containerschiff Zweistoffantrieb,155.0,142.6,142.6,70,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40955
21356,LEGO® Ideas 21356 Flussraddampfer NEU OVP EXKLUSIV!,299.99,287.99,287.99,68,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=21356
71813,LEGO® Ninjago 71813 Wolfsmasken-Dojo NEU EXKLUSIV,129.99,122.19,122.19,65,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=71813
11375,LEGO® Icons 11375 Ferrari F2004 und Michael Schumacher,69.99,65.09,65.09,63,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=11375
40759,LEGO® 40759 Festtagsserie: Valentinstag Geschenk,29.0,27.84,27.84,63,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40759
72046,LEGO® Gaming 72046 Game Boy NEU,59.99,57.59,57.59,63,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=72046
40728,Fortnite 40728 Farbenbomber,19.99,,19.99,63,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40728
40450,LEGO® 40450 Hommage an Amelia Earhart NEU OVP EXKLUSIV!,35.0,33.6,33.6,62,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40450
60509,LEGO® City 60509 Harbor Freight Train with Crane & Truck,89.0,83.66,83.66,60,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=60509
40805,LEGO® 40805 Spielautomat EXKLUSIV!,44.99,41.84,41.84,60,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40805
40486,40486 adidas Originals Superstar,49.99,47.99,47.99,60,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40486
40817,LEGO® 40817 Gelber Reisekoffer NEU,19.99,18.99,18.99,59,https://www.ebay.de/sch/i.html?_ssn=knoppers55&_nkw=40817
